player,team,pass_att,pass_cmp,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,fumbles_lost,fp_projection
Trey Lance,SF,4.0,2.0,31.0,0.0,10.9,1.0,5.0,0.0,2.7,0.0
Brian Hoyer,LV,76.0,46.0,522.0,1.3,8.2,3.0,7.0,0.0,1.8,16.2
Taylor Heinicke,ATL,41.0,26.0,294.0,2.0,8.5,6.0,26.0,0.0,2.7,13.0
Gardner Minshew II,IND,20.0,13.0,128.0,0.2,4.0,5.0,21.0,0.0,2.6,5.0
Sam Darnold,SF,34.0,22.0,47.9,0.2,13.6,4.0,0.2,0.0,3.8,2.5
Mike White,MIA,57.0,35.0,429.0,1.4,9.0,3.0,5.0,0.0,2.0,18.0
Bailey Zappe,NE,21.0,14.0,137.0,1.0,9.0,4.0,4.0,0.0,2.0,4.0
Clayton Tune,ARI,69.7,42.7,473.3,0.0,5.9,7.4,33.3,0.2,1.7,25.2
Davis Mills,HOU,22.0,14.0,138.0,0.0,10.8,5.0,18.0,0.0,1.8,7.0
Tyrod Taylor,NYG,21.0,14.0,135.0,1.0,1.9,5.0,22.0,0.0,0.6,9.0
Marcus Mariota,PHI,21.0,14.0,125.2,0.0,2.9,6.0,4.7,0.0,0.8,8.5
Mitch Trubisky,PIT,23.0,15.0,148.0,0.0,3.0,5.0,19.0,0.0,0.5,7.0
Tyler Huntley,BAL,22.0,13.0,151.0,0.0,1.8,5.0,25.0,0.0,1.1,7.0
Andy Dalton,CAR,20.0,12.0,146.0,1.0,6.4,2.0,5.0,0.0,1.1,7.0
Jarrett Stidham,DEN,22.0,14.0,159.0,0.8,7.0,3.0,5.3,0.0,0.9,7.0
Brett Rypien,LAR,57.4,32.4,281.4,1.3,7.4,26.2,15.3,0.0,1.6,5.4
Sean Clifford,GB,16.0,10.0,113.0,0.0,5.1,1.0,4.0,0.0,1.5,6.0
Hendon Hooker,DET,105.3,62.0,573.8,0.0,5.4,20.6,43.1,0.2,1.6,16.2
Teddy Bridgewater,DET,23.0,15.0,173.0,0.0,3.6,2.9,7.7,0.0,0.6,9.0
Blaine Gabbert,KC,26.0,16.0,180.0,1.0,7.8,3.0,8.4,0.0,1.7,8.0
Jameis Winston,NO,20.0,13.0,156.0,0.7,3.1,4.1,2.8,0.0,0.5,9.0
Trevor Siemian,CIN,37.9,23.5,171.7,0.6,8.0,4.0,0.2,0.0,1.8,8.7
P.J. Walker,CHI,42.0,25.0,190.3,0.6,10.4,2.0,0.6,0.0,1.0,8.4
Joshua Dobbs,CLE,22.0,14.0,153.0,1.0,8.0,4.8,20.3,0.0,1.8,7.0
Nick Mullens,MIN,26.0,18.0,189.0,1.0,3.7,2.0,4.2,0.0,1.2,4.0
Zach Wilson,NYJ,33.5,20.8,228.8,0.0,13.5,2.6,0.6,0.1,1.4,15.5
Stetson Bennett,LAR,16.0,11.0,42.6,0.0,5.7,1.0,0.3,0.0,1.6,2.1
Easton Stick,LAC,38.4,24.2,258.0,1.3,7.8,4.0,5.0,0.0,1.7,10.8
Drew Lock,SEA,22.0,15.0,163.0,1.0,7.2,3.6,15.6,0.0,1.7,7.0
C.J. Beathard,JAC,24.0,14.0,146.0,1.0,7.9,3.7,5.0,0.0,1.7,6.0
Cooper Rush,DAL,23.0,13.0,146.0,1.0,1.5,0.0,0.0,0.0,0.3,6.0
David Blough,ARI,87.0,52.0,121.1,0.5,3.0,7.0,0.6,0.0,1.0,5.4
Kyle Allen,BUF,23.0,14.0,165.0,1.0,9.3,2.0,12.0,0.0,4.5,6.0
Aidan O'Connell,LV,18.0,11.0,132.0,0.0,5.5,1.0,3.7,0.0,1.6,6.0
Matt Barkley,BUF,38.7,23.5,178.4,0.5,1.3,3.1,0.0,0.1,0.4,7.9
Malik Willis,TEN,20.0,11.0,93.5,0.0,8.4,4.0,1.3,0.0,1.8,1.0
Dorian Thompson-Robinson,CLE,16.0,10.0,115.0,0.0,5.0,1.0,5.0,0.0,1.4,8.0
Max Duggan,LAC,21.0,14.0,144.0,1.0,0.0,1.0,3.0,0.0,0.0,8.0
Jaren Hall,MIN,20.0,13.0,141.0,1.0,0.0,1.0,3.0,0.0,0.0,8.0
Tanner McKee,PHI,16.0,10.0,120.0,1.0,0.0,1.0,6.0,0.0,0.0,8.0
Skylar Thompson,MIA,90.7,51.5,34.5,0.2,7.8,26.5,0.1,0.0,1.7,1.8
Jake Haener,NO,15.0,10.0,117.0,1.0,0.0,1.0,4.0,0.0,0.0,8.0
Mason Rudolph,PIT,51.2,34.9,15.7,0.1,2.2,17.7,0.0,0.0,0.0,0.8
Case Keenum,HOU,119.6,59.1,36.5,0.1,2.4,10.0,0.1,0.0,1.6,1.8
Matt Corral,CAR,68.8,40.2,27.7,0.0,5.0,18.4,1.3,0.0,1.4,1.9
Sam Ehlinger,IND,20.8,11.6,100.1,1.5,7.1,30.3,44.5,0.0,1.6,1.8
Shane Buechele,KC,0.0,0.0,34.0,0.1,0.2,0.0,0.2,0.0,0.0,1.6
Nate Sudfeld,DET,0.0,0.0,26.3,0.1,0.1,0.0,1.7,0.0,0.0,1.5
Tommy DeVito,NYG,0.0,0.0,23.1,0.1,0.1,0.0,0.1,0.0,0.0,1.3
Will Grier,DAL,0.0,0.0,9.4,0.0,0.1,0.0,0.0,0.0,0.0,0.4
Josh Johnson,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
